"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2020-1-19/09/2025","01",0,"SA","Motor Cars - Sedan","2011","South East","Female","021","SA","C","Full","Not Towing","Straight Ahead","002","5125",,
"2020-1-19/09/2025","02",0,"SA","Utility","2005","South East","Male","037","SA","C","Full","Not Towing","Straight Ahead","002","5098",,
"2020-1-19/09/2025","03",0,"SA","Motor Cars - Sedan","2011","South East","Female","055","SA","C","Full","Not Towing","Straight Ahead","002","5109",,
"2020-2-19/09/2025","01",0,"SA","Station Wagon","2008","North","Male","055","SA","MRR","Full","Not Towing","Straight Ahead","001","5011",,
"2020-2-19/09/2025","02",0,"SA","Motor Cars - Sedan","2003","East","Male","025","SA","C","Full","Not Towing","Right Turn","003","5013",,
"2020-3-19/09/2025","01",1,"NSW","Motor Cycle","XXXX","North East","Male","036","NSW","C","Full","Not Towing","Straight Ahead","001","5031",,
"2020-3-19/09/2025","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-4-19/09/2025","01",1,"SA","Motor Cycle","2012","East","Male","044","SA","CR","Full","Not Towing","Swerving","001","5240",,
"2020-5-19/09/2025","01",0,"SA","Motor Cars - Sedan","2004","North East","Male","033","UNKNOWN","XX","Unknown","Not Towing","Left Turn","001","XXXX",,
"2020-5-19/09/2025","02",1,,"Pedestrian on Road",,"South West","Unknown","XXX",,,,,"Crossing without Control",,"5700",,
"2020-6-19/09/2025","01",0,"SA","Motor Cars - Sedan","2003","West","Male","087","SA","C","Full","Not Towing","Leaving Private Driveway","001","5017",,
"2020-6-19/09/2025","02",1,,"Pedestrian on Footpath/Carpark",,"South","Female","078",,,,,"Walking on Footpath",,"5017",,
"2020-7-19/09/2025","01",0,"SA","Utility","2011","North East","Female","048","SA","C","Full","Horse Float","Straight Ahead","001","5118",,
"2020-7-19/09/2025","02",0,"SA","Other Defined Special Vehicle","2016","South West","Male","056","SA","HRR","Full","Not Towing","Straight Ahead","001","5121",,
"2020-7-19/09/2025","03",0,,"Other Inanimate Object",,,,,,,,,,,,,
"2020-8-19/09/2025","01",1,"SA","Motor Cars - Sedan","2016","North West","Male","064","SA","C","Full","Not Towing","Stopped on Carriageway","003","5007",,
"2020-8-19/09/2025","02",0,"SA","Utility","2009","North West","Male","020","SA","C","Provisional 2","Not Towing","Straight Ahead","002","5006",,
"2020-9-19/09/2025","01",0,"SA","Station Wagon","2019","North West","Female","050","SA","C","Full","Not Towing","Stopped on Carriageway","001","5021",,
"2020-9-19/09/2025","02",0,"SA","Station Wagon","2007","North West","Female","018","SA","C","Provisional 1 ","Not Towing","Straight Ahead","001","5023",,
"2020-10-19/09/2025","01",0,"SA","Motor Cycle","2007","South","Male","023","SA","CR","Full","Not Towing","Straight Ahead","001","5115",,
"2020-10-19/09/2025","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Right Turn","001","XXXX",,
"2020-11-19/09/2025","01",0,"SA","Motor Cars - Sedan","2004","South East","Male","047","SA","HC","Full","Not Towing","Straight Ahead","001","5025",,
"2020-11-19/09/2025","02",0,"SA","Utility","2017","South East","Male","054","SA","LR","Full","Not Towing","Stopped on Carriageway","001","5087",,
"2020-12-19/09/2025","01",1,"SA","Motor Cycle","2005","North East","Male","047","SA","CR","Full","Not Towing","Straight Ahead","001","5113",,
"2020-12-19/09/2025","02",0,,"Other Fixed Obstruction",,,,,,,,,,,,,
"2020-13-19/09/2025","01",1,"SA","Motor Cars - Sedan","2015","North East","Male","026","SA","C","Full","Not Towing","Swerving","002","5070",,
"2020-13-19/09/2025","02",0,,"Tree",,,,,,,,,,,,,
"2020-14-19/09/2025","01",0,"SA","Panel Van","2005","North","Male","037","SA","C","Full","Not Towing","Right Turn","001","5085",,
"2020-14-19/09/2025","02",0,"SA","Motor Cars - Sedan","1993","West","Male","042","SA","C","Probationary","Not Towing","Straight Ahead","001","5063",,
