road_no,tesecn_start_rrd,tesecn_end_rrd,tesecn_id,tesecn_volume,traffic_score,crashes_30m,has_crash_near_segment,fatal_serious_30m,child_30m,ped_30m,severity_weighted_30m,high_risk,cv_percent,rlcwy_code,rlcwy_code_binary
5610,0.0,2.85,3287376.0,37300,24000.0,458,True,15,10,24,778,1,4.5,L,1
5232,0.0,3.33,11415136.0,2900,1900.0,45,True,2,3,5,105,1,4.5,U,0
4015,0.0,0.32,3286558.0,2400,2000.0,3,True,0,0,0,3,0,10.5,U,0
6146,6.16,6.89,4219422.0,30700,17800.0,77,True,1,5,5,137,1,3.0,U,0
8400,351.45,353.48,3288374.0,12600,16000.0,61,True,1,1,2,86,1,23.0,L,1
5600,0.49,1.23,6077820.0,10700,6400.0,24,True,0,0,4,44,0,3.5,L,1
3873,25.08,26.57,6379331.0,1600,1400.0,1,True,0,0,0,1,0,12.0,U,0
4763,4.91,10.2,3287052.0,21900,16300.0,68,True,9,1,6,193,1,7.5,L,1
6140,3.9,4.58,3719886.0,11400,6200.0,35,True,1,0,4,65,0,1.5,L,1
7620,7.4,15.67,7214603.0,3000,3800.0,3,True,2,0,0,23,0,23.5,U,0
5603,3.89,4.12,3287365.0,12500,7300.0,48,True,3,1,3,98,1,3.0,U,0
4880,39.75,40.12,12466730.0,2200,2100.0,6,True,1,0,0,16,0,12.5,U,0
3400,276.73,300.85,3286375.0,900,1300.0,6,True,2,0,0,26,0,28.0,U,0
4500,0.0,2.2,3286827.0,53800,48700.0,129,True,5,2,4,209,1,12.5,L,1
8000,110.61,111.31,6411142.0,3500,4100.0,1,True,0,0,0,1,0,20.0,U,0
5610,9.78,10.1,12381591.0,14400,8700.0,29,True,1,0,3,54,0,3.5,L,1
4766,0.33,2.51,3287064.0,11800,7400.0,38,True,4,1,7,118,1,4.0,U,0
5400,4.84,6.11,3287288.0,27000,16900.0,50,True,4,2,3,115,1,4.0,L,1
3160,184.46,191.75,12458901.0,2900,3100.0,5,True,1,0,1,20,0,17.0,U,0
4015,46.64,48.78,3286570.0,1100,950.0,2,True,0,0,0,2,0,10.0,U,0
6780,1.78,2.09,13115663.0,33600,32000.0,1,True,0,0,0,1,0,13.5,L,1
7506,2.21,3.5,6393823.0,6100,4800.0,7,True,0,0,1,12,0,9.0,U,0
5405,1.17,1.54,3287305.0,38800,22900.0,83,True,2,3,4,138,1,3.0,L,1
3326,45.19,45.77,3286354.0,650,850.0,1,True,0,0,0,1,0,24.5,U,0
4489,26.42,26.81,3286795.0,5400,3200.0,11,True,0,0,1,16,0,3.0,U,0
17087,0.0,3.51,7909503.0,200,220.0,0,False,0,0,0,0,0,17.5,U,0
6780,13.48,14.42,5101555.0,44800,40200.0,13,True,0,0,0,13,0,12.0,L,1
5863,0.87,1.61,3287600.0,9500,6000.0,13,True,2,0,4,53,0,4.0,U,0
86410,0.0,0.86,13128150.0,420,380.0,0,False,0,0,0,0,0,12.0,U,0
7515,3.58,7.95,3288262.0,1800,1800.0,11,True,3,1,2,56,0,15.5,U,0
5403,1.15,2.33,3287294.0,16800,9900.0,41,True,0,1,1,51,0,3.0,U,0
3160,201.3,225.75,12188020.0,1800,1700.0,19,True,2,0,1,44,0,13.0,U,0
6780,2.96,8.97,4004173.0,77800,67300.0,168,True,5,5,6,273,1,11.0,L,1
5836,1.33,2.32,4346927.0,22600,13700.0,44,True,2,2,2,84,1,3.5,L,1
5400,6.11,7.21,3715769.0,35800,22600.0,82,True,2,4,3,137,1,4.5,L,1
3320,0.0,24.67,3286345.0,220,210.0,8,True,1,1,4,43,0,14.0,U,0
6610,4.36,4.62,3288049.0,31900,19000.0,24,True,0,0,1,29,0,3.0,L,1
84806,0.0,13.38,3288540.0,300,480.0,1,True,0,0,0,1,0,31.5,U,0
53223,0.0,0.52,11267176.0,6300,5600.0,10,True,1,0,1,25,0,12.0,U,0
5400,1.29,2.35,3287283.0,21500,13300.0,22,True,2,0,1,47,0,3.5,U,0
3400,309.48,310.21,6406922.0,1800,2300.0,2,True,0,0,0,2,0,23.0,U,0
7100,116.67,160.81,3288111.0,750,950.0,10,True,1,0,1,25,0,22.5,U,0
3873,0.0,1.88,3286523.0,2600,2300.0,9,True,2,1,1,39,0,12.5,U,0
6866,0.54,2.38,4695781.0,19300,11100.0,32,True,2,1,1,62,0,2.5,L,1
3873,84.31,84.88,3286528.0,650,750.0,3,True,0,0,0,3,0,20.0,U,0
4138,0.32,1.37,3286615.0,1600,1200.0,4,True,0,0,0,4,0,7.5,U,0
8400,302.99,304.17,3288359.0,4800,4600.0,8,True,1,0,0,18,0,13.5,U,0
4404,0.0,0.18,3286714.0,6300,5400.0,5,True,0,0,0,5,0,10.5,U,0
4688,5.61,8.18,13117843.0,12800,10800.0,18,True,2,2,0,48,0,10.0,U,0
3160,20.89,23.48,6235797.0,900,1000.0,4,True,0,0,1,9,0,18.0,U,0
1000,389.76,756.15,3286164.0,470,900.0,57,True,16,0,2,227,1,40.5,U,0
4423,3.24,4.19,7011618.0,4300,4100.0,12,True,3,1,2,57,0,13.0,U,0
6164,0.82,0.99,11241567.0,21000,12700.0,18,True,0,1,2,33,0,3.5,L,1
